position,age,market_value,country_from,club_from,country_to,club_to,fee
Centre-Back,21,10,England,Burnley FC,England,Wolverhampton Wanderers,24
Left Winger,22,18,England,Burnley FC,England,Everton FC,24
Left Midfield,29,24,Germany,Eintracht Frankfurt,Italy,Juventus FC,12
Second Striker,27,23,Italy,SS Lazio,Italy,Inter Milan,23
Centre-Back,22,10,Scotland,Rangers FC,Netherlands,Ajax Amsterdam,23
Left Winger,25,19,Italy,US Sassuolo,Italy,Atalanta BC,22
Left Winger,22,20,Monaco,AS Monaco,France,OGC Nice,22
Centre-Back,25,22,France,Paris Saint-Germain,England,West Ham United,12
Right Winger,24,22,Italy,AS Roma,France,Olympique Marseille,8
Centre-Back,29,22,England,Burnley FC,England,Everton FC,free transfer
Central Midfield,26,22,England,Tottenham Hotspur,Spain,Villarreal CF,loan transfer
Defensive Midfield,26,22,Portugal,SL Benfica,Germany,Borussia Mönchengladbach,loan transfer
Centre-Back,26,22,England,Southampton FC,England,Aston Villa,loan transfer
Central Midfield,22,13,Italy,US Salernitana 1919,Italy,Atalanta BC,21
Left Winger,25,15,England,Burnley FC,England,West Ham United,20
Centre-Forward,24,20,Germany,1.FC Union Berlin,England,Nottingham Forest,20
Left Winger,30,20,Spain,FC Barcelona,England,Aston Villa,20
Centre-Back,22,15,Portugal,SC Braga,Portugal,FC Porto,20
Right-Back,21,8,England,Liverpool FC,England,Nottingham Forest,20
Centre-Forward,17,2,France,Stade Rennais FC,Germany,Bayern Munich,20
Right-Back,24,20,Italy,Udinese Calcio,Spain,Atlético de Madrid,20
Centre-Forward,20,18,France,Paris Saint-Germain,France,Stade Rennais FC,20
Centre-Forward,25,18,Spain,UD Almería,Spain,Real Sociedad,20
Left-Back,24,20,Spain,Villarreal CF,England,Brighton & Hove Albion,17
Right Winger,25,20,Ukraine,Shakhtar Donetsk,Portugal,SL Benfica,15
Right-Back,23,20,Ukraine,Shakhtar Donetsk,Italy,ACF Fiorentina,14
Left Winger,19,20,Czech Republic,AC Sparta Prague,Germany,Bayer 04 Leverkusen,13
Right-Back,24,20,Germany,RB Leipzig,France,Paris Saint-Germain,12
Central Midfield,30,20,Italy,Atalanta BC,England,Nottingham Forest,9
Defensive Midfield,26,20,England,Arsenal FC,Turkey,Galatasaray A.S.,6
Right Winger,22,20,Spain,FC Barcelona,Portugal,Sporting CP,3
Attacking Midfield,27,20,Italy,Hellas Verona,Italy,ACF Fiorentina,1
Right-Back,24,20,Netherlands,Ajax Amsterdam,Germany,Bayern Munich,free transfer
Attacking Midfield,30,20,England,Brentford FC,England,Manchester United,free transfer
Centre-Forward,23,20,Italy,Inter Milan,Italy,US Sassuolo,loan transfer
Central Midfield,20,20,Spain,FC Barcelona,Spain,Valencia CF,loan transfer
Centre-Forward,28,20,Italy,Torino FC,Italy,AS Roma,free transfer
Right-Back,27,20,England,Arsenal FC,Spain,FC Barcelona,free transfer
Left Winger,21,12,England,Hull City,England,Brentford FC,19
Centre-Back,22,15,Italy,Bologna FC 1909,France,Stade Rennais FC,19
Left-Back,28,4,England,Watford FC,Italy,Udinese Calcio,19
Centre-Back,25,14,Turkey,Fenerbahce SK,Italy,SSC Napoli,18
Central Midfield,18,6,England,Aston Villa,England,Chelsea FC,18
Left-Back,19,17,Italy,Udinese Calcio,England,Tottenham Hotspur,18
Left-Back,20,18,Italy,Bologna FC 1909,England,Brentford FC,16
Centre-Forward,28,18,France,Stade Rennais FC,France,OGC Nice,15
Right Winger,25,18,Spain,Celta de Vigo,Spain,Real Sociedad,14
Centre-Forward,26,18,England,Brighton & Hove Albion,England,Everton FC,11
Centre-Back,26,18,Germany,1.FSV Mainz 05,England,Nottingham Forest,10
Attacking Midfield,27,18,Italy,Hellas Verona,Italy,SS Lazio,7
Right-Back,25,18,France,LOSC Lille,Italy,AS Roma,7
Central Midfield,26,18,Italy,Juventus FC,England,Liverpool FC,4
Left Winger,28,18,France,Paris Saint-Germain,Portugal,SL Benfica,2
Centre-Back,26,18,France,Paris Saint-Germain,Germany,RB Leipzig,1
Centre-Back,28,18,Germany,Borussia Mönchengladbach,Germany,SC Freiburg,free transfer
Attacking Midfield,29,18,England,Manchester United,England,Nottingham Forest,free transfer
Goalkeeper,25,18,England,Manchester United,England,Nottingham Forest,loan transfer
Left-Back,29,18,England,Manchester United,Spain,Sevilla FC,loan transfer
Central Midfield,31,18,France,Paris Saint-Germain,Italy,AS Roma,loan transfer
Right-Back,21,18,Spain,FC Barcelona,Italy,AC Milan,loan transfer
Central Midfield,29,18,England,Everton FC,France,LOSC Lille,loan transfer
Right Winger,24,18,England,Leeds United,England,Fulham FC,loan transfer
Centre-Back,25,10,England,West Ham United,England,Fulham FC,17
Left-Back,26,17,England,Aston Villa,England,Newcastle United,17
Defensive Midfield,23,17,Germany,RB Leipzig,England,Leeds United,17
Centre-Forward,19,4,Austria,SK Sturm Graz,Italy,Atalanta BC,17
Centre-Back,24,10,France,Stade Reims,England,Leicester City,17
Left-Back,22,17,Netherlands,Feyenoord Rotterdam,England,Manchester United,15
Centre-Back,25,17,Netherlands,Feyenoord Rotterdam,England,AFC Bournemouth,15
Central Midfield,29,17,Italy,AS Roma,France,Olympique Marseille,11
Centre-Forward,26,17,Italy,Cagliari Calcio,Italy,Hellas Verona,10
Left-Back,19,17,Italy,Hellas Verona,Italy,Udinese Calcio,4
Centre-Forward,27,17,Italy,Hellas Verona,Italy,SSC Napoli,3
Centre-Back,27,17,Italy,AC Milan,Italy,SS Lazio,free transfer
Centre-Back,27,17,Portugal,FC Porto,France,Olympique Marseille,free transfer
Left-Back,19,17,England,Tottenham Hotspur,Italy,Udinese Calcio,loan transfer
Defensive Midfield,28,17,France,Paris Saint-Germain,Italy,Juventus FC,loan transfer
Centre-Forward,24,17,France,OGC Nice,Spain,Sevilla FC,loan transfer
Attacking Midfield,25,17,France,LOSC Lille,Turkey,Trabzonspor,loan transfer
Centre-Forward,26,16,Germany,RB Leipzig,England,Wolverhampton Wanderers,16
Centre-Forward,20,9,Germany,RB Leipzig,Netherlands,Ajax Amsterdam,16
Centre-Back,20,9,Germany,Bayern Munich,Spain,Sevilla FC,16
Centre-Forward,26,15,Portugal,SL Benfica,Belgium,Club Brugge KV,16
Centre-Back,25,16,France,Olympique Marseille,England,Southampton FC,10
Centre-Back,25,16,Germany,1.FSV Mainz 05,Portugal,Sporting CP,9
Centre-Forward,28,16,Italy,SSC Napoli,France,Olympique Marseille,8
Centre-Forward,28,16,France,Olympique Marseille,Italy,Juventus FC,0.9
Centre-Forward,23,16,France,FC Nantes,Germany,Eintracht Frankfurt,free transfer
Centre-Back,25,16,Italy,SS Lazio,Spain,Real Betis Balompié,free transfer
Attacking Midfield,25,16,Italy,Atalanta BC,Italy,AC Monza,loan transfer
Centre-Forward,24,16,Spain,Real Madrid,Italy,ACF Fiorentina,free transfer
Right Winger,26,16,England,Aston Villa,Turkey,Istanbul Basaksehir FK,loan transfer
Attacking Midfield,26,16,England,Everton FC,Turkey,Besiktas JK,loan transfer
Defensive Midfield,22,15,France,RC Lens,England,Crystal Palace,22
Left Winger,27,12,England,Liverpool FC,Monaco,AS Monaco,15
Left Winger,22,15,Italy,UC Sampdoria,England,Brentford FC,15
Central Midfield,19,1,Italy,Inter Milan Primavera,England,Chelsea FC U21,15
Left Winger,26,15,Portugal,SL Benfica,Brazil,Clube de Regatas do Flamengo,13
Right-Back,24,15,Austria,Red Bull Salzburg,England,Leeds United,13
Central Midfield,24,15,Germany,VfB Stuttgart,England,Nottingham Forest,13
Centre-Forward,25,15,Germany,Borussia Mönchengladbach,Monaco,AS Monaco,12
Centre-Forward,33,15,Spain,FC Barcelona,England,Chelsea FC,12
Goalkeeper,30,15,England,Burnley FC,England,Newcastle United,11
Left-Back,24,15,Spain,Getafe CF,Italy,SSC Napoli,11
Centre-Forward,18,15,France,Angers SCO,Spain,Real Sociedad,11
Left Winger,21,15,Georgia,Dinamo Batumi,Italy,SSC Napoli,10
Central Midfield,21,15,Argentina,CA River Plate,Portugal,SL Benfica,10
Central Midfield,23,15,Italy,Bologna FC 1909,Germany,VfL Wolfsburg,9
Right-Back,29,15,France,RC Lens,France,Olympique Marseille,7
Centre-Back,22,15,Belgium,KV Oostende,Italy,Bologna FC 1909,6
Centre-Back,24,15,England,Arsenal FC,Germany,VfB Stuttgart,3
Centre-Forward,31,15,England,Arsenal FC,France,Olympique Lyon,free transfer
Central Midfield,27,15,Germany,Bayern Munich,France,Olympique Lyon,free transfer
Centre-Forward,20,15,England,Wolverhampton Wanderers,Belgium,RSC Anderlecht,loan transfer
Left-Back,22,15,England,Arsenal FC,France,Olympique Marseille,loan transfer
Defensive Midfield,26,15,England,Tottenham Hotspur,Italy,UC Sampdoria,loan transfer
Right Winger,20,15,England,Manchester United,England,Sunderland AFC,loan transfer
Left Winger,23,15,Italy,AS Roma,Spain,Valencia CF,loan transfer
Centre-Forward,24,14,England,Watford FC,England,Nottingham Forest,14
Right-Back,21,8,England,Middlesbrough FC,England,Tottenham Hotspur,14
Left Winger,24,14,United States,Los Angeles FC,Turkey,Fenerbahce SK,5
Left-Back,28,14,England,Chelsea FC,England,West Ham United,15
Goalkeeper,20,5,England,Manchester City U21,England,Southampton FC,14
Centre-Forward,24,12,France,Clermont Foot 63,France,LOSC Lille,14
Centre-Back,26,14,Turkey,Galatasaray A.S.,Spain,Sevilla FC,12
Attacking Midfield,23,14,Russia,Dynamo Moscow,Netherlands,Feyenoord Rotterdam,2
Goalkeeper,29,14,France,OGC Nice,Netherlands,PSV Eindhoven,free transfer
Centre-Forward,29,14,England,Burnley FC,Turkey,Besiktas JK,loan transfer
Central Midfield,24,14,England,Manchester City,Spain,Girona FC,loan transfer
Right Winger,19,14,England,Manchester City U21,Portugal,FC Paços de Ferreira,loan transfer
Defensive Midfield,18,10,France,AS Saint-Étienne,Austria,Red Bull Salzburg,13
Centre-Forward,19,3,France,FC Girondins Bordeaux,England,Southampton FC,13
Centre-Back,20,7,Italy,FC Empoli,France,OGC Nice,13
Left-Back,21,10,Belgium,RSC Anderlecht,England,Manchester City,13
Defensive Midfield,26,12,Netherlands,Feyenoord Rotterdam,Portugal,SL Benfica,13
Defensive Midfield,24,13,Germany,1. FC Köln,Germany,Borussia Dortmund,5
Right Winger,23,13,France,OGC Nice,Belgium,Royal Antwerp FC,loan transfer
Centre-Back,21,13,England,Chelsea FC,Italy,Spezia Calcio,loan transfer
Defensive Midfield,18,2,England,Manchester City U21,England,Southampton FC,12
Goalkeeper,27,12,Italy,AS Roma,France,Olympique Marseille,12
Defensive Midfield,25,7,Germany,Bayern Munich,England,Leeds United,12
Centre-Forward,21,4,Uruguay,CA Peñarol,Italy,US Sassuolo,12
Centre-Back,22,7,Germany,Bayern Munich,England,Crystal Palace,12
Defensive Midfield,21,3,Russia,Lokomotiv Moscow,France,OGC Nice,12
Centre-Back,23,7,Belgium,Club Brugge KV,Germany,TSG 1899 Hoffenheim,12
Right Winger,19,12,Brazil,Sociedade Esportiva Palmeiras,Portugal,FC Porto,10
Central Midfield,21,12,England,Chelsea FC,England,Brighton & Hove Albion,10
Goalkeeper,23,12,Spain,Granada CF,Italy,SS Lazio,10
Centre-Forward,30,12,Spain,Real Sociedad,Spain,Real Betis Balompié,10
Left-Back,22,12,Netherlands,AZ Alkmaar,Netherlands,Ajax Amsterdam,10
Central Midfield,26,12,England,Liverpool FC,Portugal,FC Porto,9
Defensive Midfield,20,12,Italy,FC Empoli,Italy,Torino FC,8
Right Winger,21,12,Brazil,Fluminense Football Club,Spain,Real Betis Balompié,8
Attacking Midfield,25,12,France,Angers SCO,Germany,1.FSV Mainz 05,6
Attacking Midfield,19,12,England,Fulham FC,England,Liverpool FC,5
Second Striker,30,12,Italy,Cagliari Calcio,Turkey,Fenerbahce SK,4
Central Midfield,32,12,France,Paris Saint-Germain,England,Everton FC,4
Central Midfield,30,12,Portugal,FC Porto,Turkey,Galatasaray A.S.,3
Centre-Forward,26,12,Spain,Valencia CF,Turkey,Trabzonspor,3
Centre-Forward,27,12,Italy,SSC Napoli,Italy,AC Monza,2
Central Midfield,26,12,Italy,Cagliari Calcio,Italy,FC Empoli,1
Centre-Forward,25,12,Spain,Villarreal CF,Italy,US Salernitana 1919,1
Centre-Forward,27,12,Germany,Hertha BSC,Italy,US Salernitana 1919,1
Goalkeeper,29,12,England,West Bromwich Albion,England,Crystal Palace,free transfer
Goalkeeper,26,12,Netherlands,Ajax Amsterdam,Italy,Inter Milan,free transfer
Centre-Forward,27,12,England,Liverpool FC,Italy,AC Milan,free transfer
Centre-Back,27,12,Spain,FC Barcelona,England,Tottenham Hotspur,loan transfer
Right Winger,34,12,France,Paris Saint-Germain,Italy,Juventus FC,free transfer
Centre-Forward,23,12,United States,New York City FC,Spain,Girona FC,loan transfer
Right Winger,27,12,Spain,Real Sociedad,Spain,Sevilla FC,free transfer
Centre-Back,22,12,France,Stade Rennais FC,England,Nottingham Forest,loan transfer
Left-Back,31,12,England,Chelsea FC,Spain,FC Barcelona,free transfer
Central Midfield,23,4,England,Middlesbrough FC,England,AFC Bournemouth,11
Second Striker,18,11,Paraguay,Club Libertad Asunción,England,Brighton & Hove Albion,11
Centre-Forward,22,6,Netherlands,FC Groningen,Spain,Celta de Vigo,11
Centre-Forward,21,11,Germany,Bayern Munich,Italy,Bologna FC 1909,8
Central Midfield,24,11,Brazil,Grêmio Foot-Ball Porto Alegrense,Italy,US Sassuolo,8
Left-Back,29,11,Netherlands,Ajax Amsterdam,France,Olympique Lyon,4
Central Midfield,25,11,Greece,Olympiacos Piraeus,Italy,AS Roma,1
Central Midfield,23,2,Wales,Swansea City,England,West Ham United,10
Central Midfield,23,6,Brazil,São Paulo Futebol Clube,England,Norwich City,10
Defensive Midfield,21,7,England,Manchester United U21,England,Everton FC,10
Left Winger,20,10,Poland,Lech Poznan,Germany,VfL Wolfsburg,10
Left-Back,23,5,England,Wolverhampton Wanderers,Portugal,Sporting CP,10
Right Winger,22,8,Italy,AC Milan,Germany,Eintracht Frankfurt,10
Centre-Back,20,10,Germany,VfL Bochum,England,Southampton FC,10
Right-Back,22,4,France,ESTAC Troyes,England,Nottingham Forest,10
Attacking Midfield,23,5,Belgium,KRC Genk,Italy,US Sassuolo,10
Centre-Forward,24,9,Spain,Granada CF,France,Olympique Marseille,10
Right Winger,29,7,Belgium,KRC Genk,France,Stade Reims,10
Centre-Forward,25,9,Spain,Real Madrid,Spain,Getafe CF,10
Defensive Midfield,21,5,Denmark,FC Midtjylland,Belgium,Club Brugge KV,10
Right Winger,23,7,France,FC Lorient,Italy,US Sassuolo,10
Centre-Forward,20,6,France,Stade Reims,Spain,UD Almería,10
Left Winger,24,10,Germany,RB Leipzig,Italy,Atalanta BC,9
Goalkeeper,25,10,Italy,Cagliari Calcio,Italy,FC Empoli,8
Defensive Midfield,25,10,Italy,Juventus FC,Italy,ACF Fiorentina,8
Central Midfield,25,10,Scotland,Rangers FC,England,Southampton FC,7
Centre-Forward,24,10,Portugal,Portimonense SC,Italy,Udinese Calcio,7
Second Striker,28,10,Italy,UC Sampdoria,Italy,Hellas Verona,5
Centre-Back,22,10,Germany,FC Schalke 04,Germany,TSG 1899 Hoffenheim,5
Second Striker,18,10,Switzerland,FC Zürich,England,Leeds United,4
Centre-Forward,22,10,Spain,Getafe CF,Spain,Valencia CF,4
Attacking Midfield,30,10,Netherlands,PSV Eindhoven,Germany,Eintracht Frankfurt,4
Defensive Midfield,20,10,Italy,FC Empoli,Italy,Inter Milan,4
Left Winger,27,10,England,Aston Villa,Turkey,Trabzonspor,4
Centre-Forward,28,10,England,Chelsea FC,Turkey,Fenerbahce SK,3
Second Striker,28,10,Italy,Hellas Verona,Italy,AC Monza,3
Right-Back,27,10,France,Olympique Lyon,Turkey,Galatasaray A.S.,2
Central Midfield,19,10,Germany,VfL Wolfsburg,Italy,AC Milan,2
Centre-Forward,26,10,Germany,RB Leipzig,Spain,Real Sociedad,1
Goalkeeper,28,10,Italy,Cagliari Calcio,Italy,AC Monza,0.4
Left-Back,21,10,Spain,Atlético de Madrid,Spain,CA Osasuna,0.2
Left Winger,27,10,Turkey,Besiktas JK,Belgium,Club Brugge KV,free transfer
Left Midfield,33,10,Italy,Inter Milan,England,Tottenham Hotspur,free transfer
Goalkeeper,27,10,Italy,Atalanta BC,Italy,ACF Fiorentina,loan transfer
Right Winger,28,10,Italy,Juventus FC,Canada,Toronto FC,free transfer
Attacking Midfield,26,10,Italy,Atalanta BC,Italy,Torino FC,loan transfer
Central Midfield,27,10,England,West Bromwich Albion,England,Middlesbrough FC,loan transfer
Central Midfield,33,10,France,Paris Saint-Germain,Spain,Athletic Bilbao,loan transfer
Defensive Midfield,20,10,Italy,Juventus FC,Italy,AC Monza,loan transfer
Centre-Back,25,10,Germany,TSG 1899 Hoffenheim,Italy,Bologna FC 1909,loan transfer
Centre-Forward,26,10,France,Stade Rennais FC,Germany,VfB Stuttgart,loan transfer
Right Midfield,25,10,England,Arsenal FC,England,Southampton FC,loan transfer
Attacking Midfield,25,10,Germany,FC Schalke 04,France,Olympique Marseille,loan transfer
Centre-Forward,22,7,Belgium,Club Brugge KV,France,RC Lens,9
Centre-Forward,23,9,England,Watford FC,United States,Columbus Crew,9
Centre-Forward,21,8,Argentina,Club Atlético Lanús,Brazil,Sociedade Esportiva Palmeiras,9
Attacking Midfield,26,7,England,Manchester United,England,Fulham FC,9
Centre-Back,19,2,Turkey,Trabzonspor,Netherlands,Ajax Amsterdam,9
Central Midfield,23,3,England,Huddersfield Town,England,Nottingham Forest,9
Goalkeeper,29,8,France,Paris Saint-Germain,England,West Ham United,9
Goalkeeper,18,3,United States,Chicago Fire FC,England,Chelsea FC,9
Centre-Back,22,7,Netherlands,Ajax Amsterdam,Italy,Torino FC,9
Right-Back,20,5,Italy,Udinese Calcio,Italy,Atalanta BC,9
Centre-Back,20,3,France,RC Lens,France,Stade Rennais FC,9
Centre-Back,24,9,Belgium,KRC Genk,Italy,Bologna FC 1909,8
Centre-Forward,25,9,United States,New England Revolution,France,RC Lens,6
Centre-Forward,29,9,Turkey,Trabzonspor,Denmark,FC Copenhagen,6
Right-Back,27,9,Germany,VfL Wolfsburg,England,Fulham FC,5
Goalkeeper,30,9,England,Arsenal FC,England,Fulham FC,3
Defensive Midfield,25,9,Croatia,GNK Dinamo Zagreb,Germany,Eintracht Frankfurt,3
Right Winger,27,9,England,Aston Villa,Netherlands,PSV Eindhoven,2
Goalkeeper,26,9,France,Stade Reims,Spain,RCD Mallorca,2
Defensive Midfield,24,9,Russia,Dynamo Moscow,Italy,Bologna FC 1909,1
Centre-Forward,19,9,Germany,FC Augsburg,Netherlands,FC Groningen,0.5
Right Winger,30,9,Spain,Real Sociedad,Spain,Getafe CF,loan transfer
Goalkeeper,25,9,England,Newcastle United,England,Preston North End,?
Attacking Midfield,24,9,Spain,Sevilla FC,Spain,Celta de Vigo,loan transfer
Centre-Back,25,9,Spain,Athletic Bilbao,Spain,Celta de Vigo,loan transfer
Left-Back,23,9,Italy,Juventus FC,Germany,Eintracht Frankfurt,loan transfer
Centre-Forward,28,9,Spain,Villarreal CF,United Arab Emirates,Sharjah Cultural Sports Club,free transfer
Defensive Midfield,26,9,England,Everton FC,Turkey,Trabzonspor,loan transfer
Central Midfield,19,9,Germany,RB Leipzig,Spain,Valencia CF,loan transfer
Central Midfield,29,9,France,Paris Saint-Germain,Qatar,Al-Arabi SC,free transfer
Right Winger,24,8,Netherlands,PSV Eindhoven,Germany,SC Freiburg,8
Centre-Back,23,8,Brazil,Sport Club Corinthians Paulista,Portugal,SL Benfica,8
Left-Back,24,7,Germany,Bayern Munich,England,Nottingham Forest,8
Left-Back,22,5,Italy,Genoa CFC,Italy,Juventus FC,8
Central Midfield,24,8,Italy,Spezia Calcio,Italy,US Salernitana 1919,4
Right-Back,24,7,Czech Republic,SK Slavia Prague,Portugal,SL Benfica,8
Left Winger,20,1,Denmark,FC Nordsjaelland,England,Brighton & Hove Albion,8
Central Midfield,22,5,Portugal,Vitória Guimarães SC,Spain,Valencia CF,8
Right Winger,22,2,France,FC Toulouse,Germany,Borussia Mönchengladbach,8
Central Midfield,22,8,Ukraine,Shakhtar Donetsk,Italy,SS Lazio,7
Centre-Back,18,8,Brazil,Santos FC,Spain,UD Almería,7
Centre-Forward,29,8,Germany,Bayer 04 Leverkusen,Germany,Eintracht Frankfurt,6
Right Winger,21,8,Germany,Arminia Bielefeld,Germany,VfL Wolfsburg,5
Right Winger,24,8,Russia,Rubin Kazan,Denmark,FC Midtjylland,5
Right Winger,19,8,Portugal,FC Porto,Netherlands,Ajax Amsterdam,5
Centre-Back,21,8,France,OGC Nice,Italy,US Salernitana 1919,5
Centre-Forward,27,8,Portugal,SL Benfica,England,Fulham FC,5
Left Winger,27,8,France,AS Saint-Étienne,United States,Los Angeles FC,4
Central Midfield,22,8,Switzerland,Servette FC,Switzerland,BSC Young Boys,3
Attacking Midfield,27,8,Spain,Levante UD,Turkey,Trabzonspor,3
Left Winger,28,8,Spain,Villarreal CF,Spain,CA Osasuna,1
Centre-Forward,30,8,Portugal,SL Benfica,Turkey,Galatasaray A.S.,1
Centre-Back,23,8,England,Chelsea FC,Monaco,AS Monaco,1
Centre-Back,27,8,Spain,Granada CF,Spain,Getafe CF,0.75
Attacking Midfield,30,8,Canada,Toronto FC,United States,Inter Miami CF,0.136
Centre-Back,32,8,England,Wolverhampton Wanderers,Turkey,Besiktas JK,free transfer
Defensive Midfield,27,8,England,Newcastle United,England,Norwich City,loan transfer
Centre-Forward,25,8,Russia,Spartak Moscow,Germany,FC Schalke 04,free transfer
Attacking Midfield,33,8,Italy,AS Roma,Italy,Inter Milan,free transfer
Right Winger,21,8,England,Brighton & Hove Albion,France,Angers SCO,loan transfer
